"id","entityid","entityname","dept","crsnum","title","term","term_seq","units","grade","course_level","tranafct","approx_flag","approx_course_dept","approx_course_crsnum","term_received","attend_from","attend_to","approx_group_id","approx_group_type","refresh","download_shared_unique_key"
A0000015,EC006210,Foothill College,MUS,10,Music Appreciation,SP14,4640,0.75,B-,LD,,1,MUS,5,,,,0000,,2025-12-26,A0000015-EC006210-MUS-10-MUS-5
A0000016,EC009902,Diablo Valley College,STAT,50,Intro Statistics,FA13,4620,1,P,LD,,1,MATH,11,,,,0000,,2026-01-01,A0000016-EC009902-STAT-50-MATH-11
A0000016,EC009902,Diablo Valley College,COMM,1,Public Speaking,WI13,4600,0.75,A,LD,,1,COMM,10,,,,0000,,2026-01-01,A0000016-EC009902-COMM-1-COMM-10
A0000016,EC009902,Diablo Valley College,MATH,2A,Linear Algebra,WI13,4600,1,B,LD,,1,MATH,18,,,,0000,,2026-01-01,A0000016-EC009902-MATH-2A-MATH-18
A0000017,EC002118,De Anza College,PSYC,1,Introductory Psychology,WI12,4560,1,B-,LD,,1,PSYC,1,,,,0000,,2025-10-30,A0000017-EC002118-PSYC-1-PSYC-1
A0000018,EC007330,Orange Coast College,CIS,18A,Intro Programming,S112,4580,1,C+,LD,,1,CSE,11,,,,0000,,2025-10-31,A0000018-EC007330-CIS-18A-CSE-11
A0000021,EC007330,Orange Coast College,STAT,50,Intro Statistics,WI13,4600,1,B+,LD,,1,MATH,11,,,,0000,,2025-11-24,A0000021-EC007330-STAT-50-MATH-11
A0000022,EC009902,Diablo Valley College,CHEM,1B,General Chemistry II,FA13,4620,1,A-,LD,,1,CHEM,6B,,,,0000,,2025-10-28,A0000022-EC009902-CHEM-1B-CHEM-6B
A0000022,EC009902,Diablo Valley College,CIS,22B,Data Structures,WI13,4600,1,B-,LD,,1,CSE,12,,,,0000,,2025-10-28,A0000022-EC009902-CIS-22B-CSE-12
A0000022,EC009902,Diablo Valley College,CIS,18A,Intro Programming,FA12,4550,1,B+,LD,,1,CSE,11,,,,0000,,2025-10-28,A0000022-EC009902-CIS-18A-CSE-11
A0000023,EC009902,Diablo Valley College,PSYC,1,Introductory Psychology,FA11,4550,1,C+,LD,,1,PSYC,1,,,,0000,,2025-10-23,A0000023-EC009902-PSYC-1-PSYC-1
A0000023,EC009902,Diablo Valley College,DANC,40,Intro To Folk Dance,WI13,4600,0.75,P,LD,,0,,,,,,0000,,2025-10-23,A0000023-EC009902-DANC-40
A0000024,EC010777,City College of San Francisco,MATH,1A,Calculus I,FA14,4650,1,C,LD,,1,MATH,20A,,,,0000,,2025-12-28,A0000024-EC010777-MATH-1A-MATH-20A
A0000024,EC010777,City College of San Francisco,STAT,50,Intro Statistics,FA15,4670,1,A,LD,,1,MATH,11,,,,0000,,2025-12-28,A0000024-EC010777-STAT-50-MATH-11
A0000024,EC010777,City College of San Francisco,PHIL,10,Introduction to Logic,FA14,4650,1,A,LD,,1,PHIL,10,,,,0000,,2025-12-28,A0000024-EC010777-PHIL-10-PHIL-10
A0000024,EC010777,City College of San Francisco,CHEM,1B,General Chemistry II,S112,4580,1,A-,LD,,1,CHEM,6B,,,,0000,,2025-12-28,A0000024-EC010777-CHEM-1B-CHEM-6B
A0000025,EC002118,De Anza College,SOC,1,Introduction to Sociology,WI14,4630,1,A,LD,,1,SOCI,1,,,,0000,,2025-12-22,A0000025-EC002118-SOC-1-SOCI-1
A0000025,EC002118,De Anza College,STAT,50,Intro Statistics,FA12,4550,1,D,LD,,1,MATH,11,,,,0000,,2025-12-22,A0000025-EC002118-STAT-50-MATH-11
A0000025,EC002118,De Anza College,PHIL,10,Introduction to Logic,FA11,4550,1,C+,LD,,1,PHIL,10,,,,0000,,2025-12-22,A0000025-EC002118-PHIL-10-PHIL-10
A0000026,EC008115,Grossmont College,HIST,17A,US History to 1877,SP14,4640,1,A,LD,,1,HIST,101,,,,0000,,2026-01-05,A0000026-EC008115-HIST-17A-HIST-101
A0000026,EC008115,Grossmont College,MATH,1B,Calculus II,SP12,4570,1,D,LD,,1,MATH,20B,,,,0000,,2026-01-05,A0000026-EC008115-MATH-1B-MATH-20B
A0000027,EC009902,Diablo Valley College,ENGL,1A,College Composition,WI14,4630,1,C,LD,,1,LTEN,21,,,,0000,,2025-11-15,A0000027-EC009902-ENGL-1A-LTEN-21
A0000027,EC009902,Diablo Valley College,HIST,17A,US History to 1877,WI12,4560,1,B,LD,,1,HIST,101,,,,0000,,2025-11-15,A0000027-EC009902-HIST-17A-HIST-101
A0000029,EC008115,Grossmont College,CIS,18A,Intro Programming,SP15,4660,1,A-,LD,,1,CSE,11,,,,0000,,2026-01-05,A0000029-EC008115-CIS-18A-CSE-11
A0000029,EC008115,Grossmont College,ECON,2,Principles of Macroeconomics,SP14,4640,1,A,LD,,1,ECON,3,,,,0000,,2026-01-05,A0000029-EC008115-ECON-2-ECON-3
A0000029,EC008115,Grossmont College,BIOL,10,General Biology,FA13,4620,1,C,LD,,1,BILD,1,,,,0000,,2026-01-05,A0000029-EC008115-BIOL-10-BILD-1
A0000029,EC008115,Grossmont College,PHYS,4A,Physics: Mechanics,WI14,4630,1,A,LD,,1,PHYS,2A,,,,0000,,2026-01-05,A0000029-EC008115-PHYS-4A-PHYS-2A
A0000029,EC008115,Grossmont College,ENGL,1A,College Composition,FA12,4550,1,P,LD,,1,LTEN,21,,,,0000,,2026-01-05,A0000029-EC008115-ENGL-1A-LTEN-21
A0000030,EC005044,Mesa College,DANC,40,Intro To Folk Dance,SP14,4640,0.75,B,LD,,0,,,,,,0000,,2025-12-06,A0000030-EC005044-DANC-40
A0000030,EC005044,Mesa College,PHYS,4A,Physics: Mechanics,FA12,4550,1,B-,LD,,1,PHYS,2A,,,,0000,,2025-12-06,A0000030-EC005044-PHYS-4A-PHYS-2A
A0000031,EC004692,Santa Rosa Jr Coll,DANC,40,Intro To Folk Dance,FA14,4650,0.75,C,LD,,0,,,,,,0000,,2025-12-17,A0000031-EC004692-DANC-40
A0000031,EC004692,Santa Rosa Jr Coll,PHYS,4B,Physics: E&M,WI14,4630,1,A-,LD,,1,PHYS,2B,,,,0000,,2025-12-17,A0000031-EC004692-PHYS-4B-PHYS-2B
A0000031,EC004692,Santa Rosa Jr Coll,PSYC,1,Introductory Psychology,WI13,4600,1,B+,LD,,1,PSYC,1,,,,0000,,2025-12-17,A0000031-EC004692-PSYC-1-PSYC-1
A0000032,EC004692,Santa Rosa Jr Coll,PHIL,10,Introduction to Logic,SP13,4610,1,A-,LD,,1,PHIL,10,,,,0000,,2025-12-28,A0000032-EC004692-PHIL-10-PHIL-10
A0000032,EC004692,Santa Rosa Jr Coll,HIST,17A,US History to 1877,SP13,4610,1,A-,LD,,1,HIST,101,,,,0000,,2025-12-28,A0000032-EC004692-HIST-17A-HIST-101
A0000032,EC004692,Santa Rosa Jr Coll,MATH,1A,Calculus I,SP15,4660,1,B+,LD,,1,MATH,20A,,,,0000,,2025-12-28,A0000032-EC004692-MATH-1A-MATH-20A
A0000033,EC005044,Mesa College,PHYS,4A,Physics: Mechanics,FA13,4620,1,B-,LD,,1,PHYS,2A,,,,0000,,2026-01-14,A0000033-EC005044-PHYS-4A-PHYS-2A
A0000033,EC005044,Mesa College,MUS,10,Music Appreciation,SP12,4570,0.75,A-,LD,,1,MUS,5,,,,0000,,2026-01-14,A0000033-EC005044-MUS-10-MUS-5
A0000034,EC007330,Orange Coast College,PHIL,10,Introduction to Logic,FA14,4650,1,C-,LD,,1,PHIL,10,,,,0000,,2025-12-31,A0000034-EC007330-PHIL-10-PHIL-10
A0000034,EC007330,Orange Coast College,ECON,2,Principles of Macroeconomics,FA11,4550,1,D,LD,,1,ECON,3,,,,0000,,2025-12-31,A0000034-EC007330-ECON-2-ECON-3
A0000034,EC007330,Orange Coast College,MATH,2A,Linear Algebra,FA13,4620,1,A-,LD,,1,MATH,18,,,,0000,,2025-12-31,A0000034-EC007330-MATH-2A-MATH-18
A0000035,EC010777,City College of San Francisco,DANC,40,Intro To Folk Dance,WI12,4560,0.75,C-,LD,,0,,,,,,0000,,2026-01-11,A0000035-EC010777-DANC-40
A0000035,EC010777,City College of San Francisco,STAT,50,Intro Statistics,FA14,4650,1,C-,LD,,1,MATH,11,,,,0000,,2026-01-11,A0000035-EC010777-STAT-50-MATH-11
A0000035,EC010777,City College of San Francisco,ART,2,Drawing I,SP12,4570,0.75,A-,LD,,1,VIS,60,,,,0000,,2026-01-11,A0000035-EC010777-ART-2-VIS-60
A0000036,EC002118,De Anza College,ART,2,Drawing I,SP15,4660,0.75,B,LD,,1,VIS,60,,,,0000,,2026-01-13,A0000036-EC002118-ART-2-VIS-60
A0000036,EC002118,De Anza College,MATH,2A,Linear Algebra,SP13,4610,1,B,LD,,1,MATH,18,,,,0000,,2026-01-13,A0000036-EC002118-MATH-2A-MATH-18
A0000036,EC002118,De Anza College,MATH,1A,Calculus I,WI12,4560,1,C-,LD,,1,MATH,20A,,,,0000,,2026-01-13,A0000036-EC002118-MATH-1A-MATH-20A
A0000037,EC005044,Mesa College,ECON,1,Principles of Microeconomics,FA14,4650,1,A,LD,,1,ECON,1,,,,0000,,2025-12-05,A0000037-EC005044-ECON-1-ECON-1
A0000037,EC005044,Mesa College,ENGL,1A,College Composition,FA11,4550,1,B+,LD,,1,LTEN,21,,,,0000,,2025-12-05,A0000037-EC005044-ENGL-1A-LTEN-21
A0000038,EC004692,Santa Rosa Jr Coll,ENGL,1A,College Composition,FA11,4550,1,A,LD,,1,LTEN,21,,,,0000,,2025-11-22,A0000038-EC004692-ENGL-1A-LTEN-21
A0000038,EC004692,Santa Rosa Jr Coll,COMM,1,Public Speaking,SP13,4610,0.75,B-,LD,,1,COMM,10,,,,0000,,2025-11-22,A0000038-EC004692-COMM-1-COMM-10
A0000040,EC001247,Santa Monica College,MUS,10,Music Appreciation,S112,4580,0.75,A,LD,,1,MUS,5,,,,0000,,2025-12-25,A0000040-EC001247-MUS-10-MUS-5
A0000040,EC001247,Santa Monica College,HIST,17A,US History to 1877,SP13,4610,1,B-,LD,,1,HIST,101,,,,0000,,2025-12-25,A0000040-EC001247-HIST-17A-HIST-101
A0000040,EC001247,Santa Monica College,STAT,50,Intro Statistics,S112,4580,1,B,LD,,1,MATH,11,,,,0000,,2025-12-25,A0000040-EC001247-STAT-50-MATH-11
A0000042,EC009902,Diablo Valley College,CHEM,1B,General Chemistry II,FA14,4650,1,C,LD,,1,CHEM,6B,,,,0000,,2025-12-01,A0000042-EC009902-CHEM-1B-CHEM-6B
A0000042,EC009902,Diablo Valley College,ECON,1,Principles of Microeconomics,FA11,4550,1,C,LD,,1,ECON,1,,,,0000,,2025-12-01,A0000042-EC009902-ECON-1-ECON-1
A0000042,EC009902,Diablo Valley College,SOC,1,Introduction to Sociology,FA12,4550,1,C+,LD,,1,SOCI,1,,,,0000,,2025-12-01,A0000042-EC009902-SOC-1-SOCI-1
A0000042,EC009902,Diablo Valley College,COMM,1,Public Speaking,FA13,4620,0.75,B+,LD,,1,COMM,10,,,,0000,,2025-12-01,A0000042-EC009902-COMM-1-COMM-10
A0000042,EC009902,Diablo Valley College,BIOL,10,General Biology,FA11,4550,1,C,LD,,1,BILD,1,,,,0000,,2025-12-01,A0000042-EC009902-BIOL-10-BILD-1
A0000043,EC001247,Santa Monica College,PHYS,4B,Physics: E&M,FA12,4550,1,B-,LD,,1,PHYS,2B,,,,0000,,2025-11-14,A0000043-EC001247-PHYS-4B-PHYS-2B
A0000043,EC001247,Santa Monica College,PHIL,10,Introduction to Logic,FA12,4550,1,P,LD,,1,PHIL,10,,,,0000,,2025-11-14,A0000043-EC001247-PHIL-10-PHIL-10
A0000043,EC001247,Santa Monica College,MATH,2A,Linear Algebra,FA13,4620,1,A-,LD,,1,MATH,18,,,,0000,,2025-11-14,A0000043-EC001247-MATH-2A-MATH-18
A0000043,EC001247,Santa Monica College,MATH,1A,Calculus I,WI13,4600,1,B+,LD,,1,MATH,20A,,,,0000,,2025-11-14,A0000043-EC001247-MATH-1A-MATH-20A
A0000043,EC001247,Santa Monica College,ECON,1,Principles of Microeconomics,FA13,4620,1,P,LD,,1,ECON,1,,,,0000,,2025-11-14,A0000043-EC001247-ECON-1-ECON-1
A0000044,EC008115,Grossmont College,MUS,10,Music Appreciation,SP14,4640,0.75,A,LD,,1,MUS,5,,,,0000,,2025-11-12,A0000044-EC008115-MUS-10-MUS-5
A0000044,EC008115,Grossmont College,SOC,1,Introduction to Sociology,SP15,4660,1,A,LD,,1,SOCI,1,,,,0000,,2025-11-12,A0000044-EC008115-SOC-1-SOCI-1
A0000044,EC008115,Grossmont College,MATH,1B,Calculus II,S112,4580,1,D,LD,,1,MATH,20B,,,,0000,,2025-11-12,A0000044-EC008115-MATH-1B-MATH-20B
A0000044,EC008115,Grossmont College,ECON,1,Principles of Microeconomics,FA11,4550,1,C+,LD,,1,ECON,1,,,,0000,,2025-11-12,A0000044-EC008115-ECON-1-ECON-1
A0000044,EC008115,Grossmont College,MATH,1A,Calculus I,WI13,4600,1,A,LD,,1,MATH,20A,,,,0000,,2025-11-12,A0000044-EC008115-MATH-1A-MATH-20A
A0000046,EC008115,Grossmont College,ECON,2,Principles of Macroeconomics,FA14,4650,1,B+,LD,,1,ECON,3,,,,0000,,2025-12-20,A0000046-EC008115-ECON-2-ECON-3
A0000046,EC008115,Grossmont College,CHEM,1A,General Chemistry I,SP12,4570,1,A-,LD,,1,CHEM,6A,,,,0000,,2025-12-20,A0000046-EC008115-CHEM-1A-CHEM-6A
A0000046,EC008115,Grossmont College,ECON,1,Principles of Microeconomics,SP14,4640,1,B-,LD,,1,ECON,1,,,,0000,,2025-12-20,A0000046-EC008115-ECON-1-ECON-1
A0000046,EC008115,Grossmont College,CIS,22B,Data Structures,SP13,4610,1,C,LD,,1,CSE,12,,,,0000,,2025-12-20,A0000046-EC008115-CIS-22B-CSE-12
A0000046,EC008115,Grossmont College,COMM,1,Public Speaking,S112,4580,0.75,B+,LD,,1,COMM,10,,,,0000,,2025-12-20,A0000046-EC008115-COMM-1-COMM-10
A0000047,EC004692,Santa Rosa Jr Coll,PHYS,4A,Physics: Mechanics,WI14,4630,1,A-,LD,,1,PHYS,2A,,,,0000,,2025-11-02,A0000047-EC004692-PHYS-4A-PHYS-2A
A0000047,EC004692,Santa Rosa Jr Coll,CIS,22B,Data Structures,S112,4580,1,C-,LD,,1,CSE,12,,,,0000,,2025-11-02,A0000047-EC004692-CIS-22B-CSE-12
A0000047,EC004692,Santa Rosa Jr Coll,MATH,2A,Linear Algebra,SP13,4610,1,C+,LD,,1,MATH,18,,,,0000,,2025-11-02,A0000047-EC004692-MATH-2A-MATH-18
A0000047,EC004692,Santa Rosa Jr Coll,ECON,2,Principles of Macroeconomics,SP14,4640,1,C+,LD,,1,ECON,3,,,,0000,,2025-11-02,A0000047-EC004692-ECON-2-ECON-3
A0000047,EC004692,Santa Rosa Jr Coll,ENGL,1A,College Composition,SP13,4610,1,D,LD,,1,LTEN,21,,,,0000,,2025-11-02,A0000047-EC004692-ENGL-1A-LTEN-21
A0000049,EC006210,Foothill College,STAT,50,Intro Statistics,FA12,4550,1,A-,LD,,1,MATH,11,,,,0000,,2026-01-05,A0000049-EC006210-STAT-50-MATH-11
A0000050,EC009902,Diablo Valley College,STAT,50,Intro Statistics,FA14,4650,1,C,LD,,1,MATH,11,,,,0000,,2025-10-28,A0000050-EC009902-STAT-50-MATH-11
A0000050,EC009902,Diablo Valley College,CIS,22B,Data Structures,FA11,4550,1,A,LD,,1,CSE,12,,,,0000,,2025-10-28,A0000050-EC009902-CIS-22B-CSE-12
A0000050,EC009902,Diablo Valley College,DANC,40,Intro To Folk Dance,WI12,4560,0.75,B,LD,,0,,,,,,0000,,2025-10-28,A0000050-EC009902-DANC-40
A0000050,EC009902,Diablo Valley College,ECON,1,Principles of Microeconomics,SP12,4570,1,B,LD,,1,ECON,1,,,,0000,,2025-10-28,A0000050-EC009902-ECON-1-ECON-1
A0000052,EC001247,Santa Monica College,HIST,17A,US History to 1877,WI14,4630,1,A-,LD,,1,HIST,101,,,,0000,,2025-11-17,A0000052-EC001247-HIST-17A-HIST-101
A0000053,EC005044,Mesa College,MATH,1B,Calculus II,SP13,4610,1,C,LD,,1,MATH,20B,,,,0000,,2025-11-14,A0000053-EC005044-MATH-1B-MATH-20B
A0000054,EC008115,Grossmont College,PHIL,10,Introduction to Logic,SP12,4570,1,P,LD,,1,PHIL,10,,,,0000,,2025-11-27,A0000054-EC008115-PHIL-10-PHIL-10
A0000054,EC008115,Grossmont College,PSYC,1,Introductory Psychology,FA15,4670,1,C,LD,,1,PSYC,1,,,,0000,,2025-11-27,A0000054-EC008115-PSYC-1-PSYC-1
A0000056,EC009902,Diablo Valley College,ECON,2,Principles of Macroeconomics,S112,4580,1,B+,LD,,1,ECON,3,,,,0000,,2025-12-30,A0000056-EC009902-ECON-2-ECON-3
A0000056,EC009902,Diablo Valley College,DANC,40,Intro To Folk Dance,FA15,4670,0.75,A,LD,,0,,,,,,0000,,2025-12-30,A0000056-EC009902-DANC-40
A0000058,EC001247,Santa Monica College,CHEM,1A,General Chemistry I,FA15,4670,1,C-,LD,,1,CHEM,6A,,,,0000,,2026-01-12,A0000058-EC001247-CHEM-1A-CHEM-6A
A0000059,EC002118,De Anza College,CHEM,1B,General Chemistry II,FA13,4620,1,B-,LD,,1,CHEM,6B,,,,0000,,2026-01-19,A0000059-EC002118-CHEM-1B-CHEM-6B
A0000059,EC002118,De Anza College,ECON,2,Principles of Macroeconomics,SP13,4610,1,B+,LD,,1,ECON,3,,,,0000,,2026-01-19,A0000059-EC002118-ECON-2-ECON-3
A0000059,EC002118,De Anza College,MUS,10,Music Appreciation,FA12,4550,0.75,B-,LD,,1,MUS,5,,,,0000,,2026-01-19,A0000059-EC002118-MUS-10-MUS-5
A0000059,EC002118,De Anza College,DANC,40,Intro To Folk Dance,WI13,4600,0.75,B+,LD,,0,,,,,,0000,,2026-01-19,A0000059-EC002118-DANC-40
A0000059,EC002118,De Anza College,CIS,18A,Intro Programming,FA12,4550,1,C+,LD,,1,CSE,11,,,,0000,,2026-01-19,A0000059-EC002118-CIS-18A-CSE-11
A0000060,EC001247,Santa Monica College,ART,2,Drawing I,FA14,4650,0.75,B,LD,,1,VIS,60,,,,0000,,2025-11-24,A0000060-EC001247-ART-2-VIS-60
A0000060,EC001247,Santa Monica College,DANC,40,Intro To Folk Dance,FA12,4550,0.75,A,LD,,0,,,,,,0000,,2025-11-24,A0000060-EC001247-DANC-40
